Caption
*= Percentage change/share/price not interpretable or not calculable
**= Percentage change > 999.9 %
***= Provisional data

91 - Clocks and watches and parts thereof
Period	Commercial partner	Export	
		Value (CHF)	
	                  Hong Kong	1,320,549,647	
	                  Hungary	28,177,176	
	                  Iceland	2,367,181	
	                  India	11,391,537	
	                  Indonesia	1,366,080	
	                  Iran	6,654,143	
	                  Ireland	4,129,261	
	                  Israel	26,016,854	
	                  Italy	789,478,540	
	                  Jamaica	4,571,195	
	                  Japan	523,668,489	
	                  Jordan	4,811,900	
	                  Kazakhstan	19,993	
	                  Kenya	1,125,320	
	                  Korea (North)	3,094,541	
	                  Korea (South)	40,858,792	
	                  Kuwait	21,288,794	
	                  Latvia	2,460	
	                  Lebanon	12,932,235	
	                  Liberia	38,154	
	                  Libya	3,092,239	
	                  Lithuania	273,602	
	                  Macau	162,437	
	                  Macedonia	788,021	
	                  Madagascar	4,474	
	                  Malawi	52,675	
	                  Malaysia	38,703,215	
	                  Maldives	492,902	
	                  Malta	1,911,304	
	                  Martinique	267,970	
	                  Mauritania	52,336	
	                  Mauritius	5,736,181	
	                  Mexico	54,348,118	
	                  Miquelon	112,226	
	                  Morocco	7,495,761	
	                  Mozambique	37,350	
	                  Myanmar	1,786	
	                  Namibia	201,164	
	                  Nepal	191,820	
	                  Netherlands	61,668,597	
	                  New Zealand	1,839,814	
	                  Nicaragua	9,314	
	                  Niger	149,358	
	                  Nigeria	3,392,310	
	                  Norway	21,174,875	
	                  Oman	21,102,271	
	                  Pakistan	12,617,946	
	                  Panama	24,568,065	
	                  Papua	74,616	
	                  Paraguay	6,775,390	
	                  Peru	204,814	
	                  Philippines	5,346,380	
	                  Poland	12,022,665	
	                  Polynesia, Fr.	531,422	
	                  Portugal	37,155,657	
	                  Qatar	33,604,653	
	                  Réunion	127,676	
	                  Romania	631,286	
	                  Russia	14,206,729	
	                  Saudi Arabia	149,660,488	
	                  Senegal	47,642	
	                  Serbia	281	
	                  Seychelles	390,107	
	                  Sierra Leone	102,244	
	                  Singapore	430,233,582	
	                  Slovakia	721,282	
	                  Slovenia	1,428,428	
	                  Solomon Islands	1,045	
