Caption
*= Percentage change/share/price not interpretable or not calculable
**= Percentage change > 999.9 %
***= Provisional data

91 - Clocks and watches and parts thereof
Period	Commercial partner	Export	
		Value (CHF)	
	                  Gibraltar	693,357	
	                  Greece	71,677,180	
	                  Greenland	11,390	
	                  Grenada	13,100	
	                  Guadeloupe	4,453,399	
	                  Guam	8,734,703	
	                  Guatemala	3,257,861	
	                  Guiana, French	19,198	
	                  Guinea	32,970	
	                  Guyana	78,489	
	                  Haiti	200,888	
	                  Holy See	645,340	
	                  Honduras	1,822,168	
	                  Hong Kong	3,185,539,630	
	                  Hungary	8,600,945	
	                  Iceland	5,747,830	
	                  India	101,482,238	
	                  Indonesia	4,271,060	
	                  Iran	49,275,784	
	                  Iraq	1,763,629	
	                  Ireland	1,429,275	
	                  Israel	75,080,188	
	                  Italy	923,643,274	
	                  Jamaica	5,597,160	
	                  Japan	807,122,295	
	                  Jordan	34,787,767	
	                  Kazakhstan	24,737,814	
	                  Kenya	2,785,752	
	                  Korea (North)	59,947	
	                  Korea (South)	305,228,177	
	                  Kosovo	196,063	
	                  Kuwait	59,758,713	
	                  Kyrgyz, Rep.	505,491	
	                  Latvia	2,678,100	
	                  Lebanon	49,764,854	
	                  Liberia	17,413,462	
	                  Libya	6,522,745	
	                  Lithuania	2,583,109	
	                  Luxembourg	3,388,182	
	                  Macau	3,966,863	
	                  Macedonia	448,611	
	                  Madagascar	63,947	
	                  Malaysia	72,545,039	
	                  Maldives	131,887	
	                  Mali	220,383	
	                  Malta	6,694,536	
	                  Mariana, North.	26,068	
	                  Mauritania	18,651	
	                  Mauritius	5,177,467	
	                  Mayotte	3,150	
	                  Mexico	184,264,763	
	                  Micronesia	6,740	
	                  Miquelon	186,111	
	                  Moldova	900,577	
	                  Mongolia	389,061	
	                  Montenegro	138,753	
	                  Morocco	33,287,652	
	                  Mozambique	30,945	
	                  Myanmar	101,659	
	                  Namibia	65,990	
	                  Nepal	3,040,294	
	                  Netherlands	105,681,190	
	                  New Caledonia	102,280	
	                  New Zealand	6,016,798	
	                  Nicaragua	33,151	
	                  Niger	1,700	
	                  Nigeria	13,597,639	
	                  Norway	26,113,426	
	                  Oman	61,866,693	
	                  Pakistan	23,824,260	
	                  Palestine	122,619	
	                  Panama	46,786,064	
	                  Paraguay	2,387,037	
	                  Peru	9,718,788	
	                  Philippines	31,354,383	
	                  Poland	30,080,043	
	                  Polynesia, Fr.	47,950	
	                  Portugal	119,823,843	
	                  Qatar	94,963,421	
	                  Réunion	643,681	
	                  Romania	12,622,838	
	                  Russia	204,943,925	
	                  Rwanda	7,234	
	                  San Marino	2,765,317	
	                  Saudi Arabia	256,273,016	
	                  Senegal	79,827	
	                  Serbia	6,229,573	
	                  Seychelles	1,661	
	                  Singapore	899,291,062	
	                  Slovakia	6,957,966	
	                  Slovenia	7,345,568	
	                  South Africa	36,074,714	
	                  Spain	343,959,375	
	                  Sri Lanka	1,467,697	
	                  St Kitts	563,630	
	                  St Lucia	2,270,766	
	                  Sudan	173,019	
	                  Suriname	28,516	
	                  Sweden	51,608,986	
	                  Syria	40,397,296	
	                  Taiwan	308,932,172	
	                  Tajikistan	187,689	
	                  Tanzania	137,346	
	                  Thailand	206,125,107	
	                  Togo	376,000	
	                  Trinidad	58,216	
	                  Tunisia	6,327,763	
	                  Turkey	138,124,844	
	                  Turkmenistan	1,597,098	
	                  Turks	2,916,116	
	                  Uganda	67,711	
	                  Ukraine	40,824,596	
	                  United Kingdom	596,712,267	
	                  Uruguay	11,423,168	
	                  USA	1,676,599,471	
	                  Uzbekistan	10,548,004	
	                  Venezuela	19,540,920	
	                  Viet Nam	7,201,816	
	                  Yemen	7,035,145	
	                  Zambia	130,157	
	                  Zimbabwe	94,299	
2011	                  Afghanistan	87,098	
	                  Albania	688,605	
	                  Algeria	4,563,539	
	                  Am. Oceania	97,503	
	                  Amer. Virgin	27,175,532	
	                  Andorra	1,773,682	
	                  Angola	1,615,219	
	                  Anguilla	8,316	
	                  Antigua	1,592,147	
	                  Argentina	57,822,857	
	                  Armenia	7,324,867	
	                  Aruba	9,750,360	
	                  Australia	151,977,685	
	                  Austria	192,632,989	
	                  Azerbaijan	24,409,055	
	                  Bahamas	13,198,925	
	                  Bahrain	58,425,313	
	                  Bangladesh	1,465,832	
	                  Barbados	7,055,945	
	                  Belarus	3,973,577	
	                  Belgium	87,149,417	
	                  Belize	7,663,388	
	                  Benin	234	
	                  Bermuda	2,011,937	
	                  Bhutan	28,020	
	                  BIOT	646,500	
	                  Bolivia	960,376	
	                  Bosnia-Herzeg.	760,957	
	                  Bouvet Island	69,477	
	                  Brazil	55,056,413	
	                  Brit. Virgin	16,391,182	
	                  Brunei	59,515	
	                  Bulgaria	6,761,806	
	                  Cambodia	117,794	
	                  Cameroon	628,482	
	                  Canada	96,354,620	
	                  Canary Islands	5,498,409	
	                  Cayman Islands	10,748,158	
	                  Ceuta	2,952,099	
	                  Chile	14,410,565	
	                  China	1,637,558,637	
	                  Colombia	24,772,580	
	                  Congo, Rep. of	214,689	
	                  Congo (RDC)	141,100	
	                  Costa Rica	3,691,676	
	                  Côte d'Ivoire	915,370	
	                  Croatia	4,324,335	
	                  Cuba	746,159	
	                  Cyprus	5,856,722	
	                  Czech Republic	21,658,400	
	                  Denmark	47,503,992	
	                  Djibouti	24,025	
	                  Dominica	297,568	
	                  Dominican Rep.	1,553,999	
	                  East Timor	3,401	
	                  Ecuador	2,884,938	
	                  Egypt	17,887,970	
	                  El Salvador	418,709	
	                  Emirates, Arab	683,145,391	
	                  Estonia	3,594,620	
	                  Ethiopia	1,354,652	
	                  Finland	22,478,747	
	                  Fr. Southern T.	37,379	
	                  France	1,300,862,725	
	                  Gabon	684,814	
	                  Georgia	5,756,472	
	                  Germany	900,368,903	
	                  Ghana	139,530	
	                  Gibraltar	574,489	
	                  Greece	65,552,115	
	                  Guadeloupe	6,981,177	
	                  Guam	9,024,705	
	                  Guatemala	3,079,360	
	                  Guiana, French	69,259	
	                  Guinea	33,275	
	                  Haiti	277,297	
	                  Heard	60,928	
	                  Holy See	41,547	
	                  Honduras	1,356,108	
	                  Hong Kong	4,090,778,262	
	                  Hungary	8,204,047	
	                  Iceland	3,435,322	
	                  India	108,655,649	
	                  Indonesia	4,217,713	
	                  Iran	43,407,613	
	                  Iraq	1,492,577	
	                  Ireland	1,360,899	
	                  Israel	74,235,217	
	                  Italy	1,012,163,002	
	                  Jamaica	7,651,131	
	                  Japan	912,952,059	
	                  Jordan	36,410,853	
	                  Kazakhstan	28,888,719	
	                  Kenya	2,523,763	
	                  Korea (North)	119,846	
	                  Korea (South)	396,117,777	
	                  Kosovo	155,167	
	                  Kuwait	76,208,584	
	                  Kyrgyz, Rep.	748,352	
	                  Latvia	3,328,625	
	                  Lebanon	41,329,300	
	                  Liberia	20,598,157	
	                  Libya	3,623,444	
	                  Lithuania	3,822,815	
	                  Luxembourg	12,550,649	
	                  Macau	9,311,423	
	                  Macedonia	377,725	
	                  Madagascar	74,274	
	                  Malaysia	87,477,546	
	                  Maldives	183,503	
	                  Mali	11,850	
	                  Malta	6,825,635	
	                  Mariana, North.	14,448	
	                  Marshall Isl.	79,950	
	                  Mauritius	5,243,376	
	                  Melilla	107,665	
	                  Mexico	209,260,159	
	                  Miquelon	137,457	
	                  Moldova	1,269,040	
	                  Mongolia	1,958,549	
	                  Montenegro	111,686	
	                  Morocco	24,205,733	
	                  Mozambique	20,268	
	                  Myanmar	172,118	
	                  Namibia	27,681	
	                  Nepal	3,750,520	
	                  Netherlands	121,343,366	
	                  New Caledonia	59,637	
	                  New Zealand	6,702,032	
	                  Nicaragua	24,366	
	                  Niger	1,001,680	
	                  Nigeria	15,103,106	
	                  Norway	31,389,157	
	                  Oman	49,244,540	
	                  Pakistan	23,669,343	
	                  Panama	54,786,146	
	                  Paraguay	3,453,185	
	                  Peru	10,259,488	
	                  Philippines	32,705,603	
	                  Poland	31,460,096	
	                  Polynesia, Fr.	31,195	
	                  Portugal	106,964,952	
	                  Qatar	101,619,285	
	                  Réunion	666,884	
	                  Romania	10,393,277	
	                  Russia	254,571,970	
	                  Rwanda	5,925	
	                  Sandwich	1,865,575	
	                  San Marino	7,450	
	                  Saudi Arabia	286,321,500	
	                  Senegal	91,041	
	                  Serbia	7,666,249	
	                  Seychelles	542,294	
	                  Sierra Leone	18,760	
	                  Singapore	1,146,566,130	
	                  Slovakia	7,604,883	
	                  Slovenia	10,253,206	
	                  South Africa	42,192,011	
	                  Spain	356,009,352	
	                  Sri Lanka	1,896,415	
	                  St Kitts	566,672	
	                  St Lucia	1,062,506	
	                  Sudan	103,068	
	                  Suriname	82,095	
	                  Sweden	54,240,925	
	                  Syria	44,694,637	
	                  Taiwan	368,076,433	
	                  Tajikistan	55,035	
	                  Tanzania	227,355	
	                  Thailand	278,572,217	
	                  Togo	46,760	
	                  Tokelau Islands	223,981	
	                  Trinidad	25,199	
	                  Tunisia	4,547,130	
	                  Turkey	141,976,898	
	                  Turkmenistan	2,548,465	
	                  Turks	2,600,846	
	                  Uganda	5,398	
	                  Ukraine	65,915,548	
	                  United Kingdom	659,184,651	
	                  Uruguay	10,874,784	
	                  USA	1,985,395,008	
	                  Uzbekistan	8,799,232	
	                  Venezuela	28,211,422	
	                  Viet Nam	7,695,848	
	                  Yemen	3,152,212	
	                  Zambia	115,598	
	                  Zimbabwe	34,146	
2012	                  Afghanistan	195,542	
	                  Albania	1,128,303	
	                  Algeria	4,277,442	
	                  Am. Oceania	43,265	
	                  Amer. Virgin	24,874,891	
	                  Andorra	1,603,110	
	                  Angola	2,678,657	
	                  Anguilla	295,009	
	                  Antigua	1,386,249	
	                  Argentina	55,964,670	
	                  Armenia	10,231,223	
	                  Aruba	13,369,794	
	                  Australia	160,503,227	
	                  Austria	253,991,520	
	                  Azerbaijan	22,950,435	
	                  Bahamas	13,317,894	
	                  Bahrain	62,835,846	
	                  Bangladesh	1,509,517	
	                  Barbados	5,448,942	
	                  Belarus	4,618,766	
	                  Belgium	117,407,550	
	                  Belize	8,168,827	
	                  Bermuda	1,722,025	
	                  Bhutan	33,603	
	                  Bolivia	2,082,532	
	                  Bosnia-Herzeg.	557,586	
	                  Botswana	42,183	
	                  Brazil	57,929,825	
	                  Brit. Virgin	10,674,090	
	                  Brunei	360,788	
	                  Bulgaria	9,550,939	
	                  Cambodia	232,200	
	                  Cameroon	1,085,779	
	                  Canada	120,699,473	
	                  Canary Islands	8,668,066	
	                  Cayman Islands	11,601,510	
	                  Ceuta	3,688,004	
	                  Chad	58,450	
	                  Chile	14,656,911	
	                  China	1,652,617,526	
	                  Colombia	23,239,312	
	                  Congo, Rep. of	1,145,948	
	                  Congo (RDC)	23,747	
	                  Costa Rica	4,433,218	
	                  Côte d'Ivoire	1,317,497	
	                  Croatia	5,546,961	
	                  Cuba	1,112,147	
	                  Cyprus	7,548,085	
	                  Czech Republic	34,843,025	
	                  Denmark	50,799,345	
	                  Djibouti	22,498	
	                  Dominica	66,448	
	                  Dominican Rep.	2,032,291	
	                  Ecuador	2,752,422	
	                  Egypt	25,537,438	
	                  El Salvador	507,004	
	                  Emirates, Arab	855,262,960	
	                  Estonia	3,362,478	
	                  Ethiopia	1,025,723	
	                  Finland	29,877,978	
	                  France	1,317,545,141	
	                  Gabon	16,372	
	                  Georgia	6,695,327	
	                  Germany	1,198,134,151	
	                  Ghana	135,368	
	                  Gibraltar	432,796	
	                  Greece	72,542,613	
	                  Grenada	10,706	
	                  Guadeloupe	6,331,357	
	                  Guam	7,219,008	
	                  Guatemala	2,783,084	
	                  Guiana, French	41,325	
	                  Guinea	46,735	
	                  Guinea, Equat.	14,950	
	                  Guyana	50,645	
	                  Haiti	653,658	
	                  Holy See	13,527	
	                  Honduras	1,499,050	
	                  Hong Kong	4,370,939,678	
	                  Hungary	10,591,430	
	                  Iceland	3,445,606	
	                  India	117,206,046	
	                  Indonesia	4,856,100	
	                  Iran	37,240,956	
	                  Iraq	2,508,720	
	                  Ireland	1,948,849	
	                  Israel	75,441,862	
	                  Italy	1,175,268,191	
	                  Jamaica	8,057,066	
	                  Japan	1,092,411,121	
	                  Jordan	51,420,182	
	                  Kazakhstan	18,182,639	
	                  Kenya	2,891,378	
	                  Korea (North)	216,423	
	                  Korea (South)	482,202,501	
	                  Kosovo	206,849	
	                  Kuwait	90,340,804	
	                  Kyrgyz, Rep.	1,322,001	
	                  Latvia	4,638,546	
	                  Lebanon	47,995,762	
	                  Liberia	25,102,661	
	                  Libya	11,473,570	
	                  Lithuania	4,696,986	
	                  Luxembourg	14,253,828	
	                  Macau	13,750,000	
	                  Macedonia	677,644	
	                  Madagascar	67,255	
	                  Malawi	2,883	
	                  Malaysia	92,098,197	
	                  Maldives	188,776	
	                  Mali	58,610	
	                  Malta	8,142,089	
	                  Mariana, North.	18,030	
	                  Marshall Isl.	2,517,585	
	                  Mauritius	6,620,431	
	                  Melilla	186,340	
	                  Mexico	197,485,427	
	                  Moldova	1,863,849	
	                  Mongolia	3,296,622	
	                  Montenegro	261,050	
	                  Morocco	22,859,884	
	                  Mozambique	500	
	                  Myanmar	262,699	
	                  Namibia	51,148	
	                  Nepal	4,021,751	
	                  Netherlands	161,021,376	
	                  New Caledonia	77,104	
	                  New Zealand	5,378,966	
	                  Nicaragua	100,534	
	                  Nigeria	17,117,677	
	                  Norway	35,866,566	
	                  Oman	68,383,685	
	                  Pakistan	29,954,458	
	                  Panama	68,309,846	
	                  Papua	19,122	
	                  Paraguay	3,744,692	
	                  Peru	16,584,646	
	                  Philippines	30,522,785	
	                  Poland	33,579,019	
	                  Polynesia, Fr.	29,303	
	                  Portugal	110,561,007	
	                  Qatar	125,576,349	
	                  Réunion	690,562	
	                  Romania	11,395,558	
	                  Russia	277,466,624	
	                  Rwanda	93,536	
	                  Saint Helena	1,600	
	                  San Marino	6,786	
	                  Sao Tomé	36,301	
	                  Saudi Arabia	330,461,730	
	                  Senegal	120,858	
	                  Serbia	10,517,969	
	                  Seychelles	883,847	
	                  Sierra Leone	23,686	
	                  Singapore	1,124,736,716	
	                  Slovakia	8,931,143	
	                  Slovenia	11,684,641	
	                  South Africa	49,595,287	
	                  Spain	418,025,918	
	                  Sri Lanka	1,645,530	
	                  St Kitts	469,844	
	                  St Lucia	1,567,100	
	                  St Vincent	2,500	
	                  Sudan	135,421	
	                  Suriname	63,127	
	                  Sweden	70,964,232	
	                  Syria	28,257,289	
	                  Taiwan	435,845,924	
	                  Tajikistan	99,306	
	                  Tanzania	202,294	
	                  Thailand	274,749,170	
	                  Trinidad	24,033	
	                  Tunisia	6,389,690	
	                  Turkey	130,260,484	
	                  Turkmenistan	1,750,468	
	                  Turks	3,554,614	
	                  Uganda	12,693	
	                  Ukraine	67,538,147	
	                  United Kingdom	806,091,774	
	                  Uruguay	14,655,719	
	                  USA	2,187,063,662	
	                  Uzbekistan	8,516,091	
	                  Venezuela	52,653,721	
	                  Viet Nam	14,582,157	
	                  Yemen	7,073,167	
	                  Zambia	273,700	
2013	                  Afghanistan	106,328	
	                  Albania	742,522	
	                  Algeria	5,058,193	
	                  Am. Oceania	83,927	
	                  Amer. Virgin	19,384,455	
	                  Andorra	2,585,887	
	                  Angola	2,532,124	
	                  Anguilla	530,387	
	                  Antigua	1,523,949	
	                  Argentina	50,181,072	
	                  Armenia	6,013,510	
	                  Aruba	11,118,620	
	                  Australia	184,875,990	
	                  Austria	265,771,059	
	                  Azerbaijan	30,181,750	
	                  Bahamas	16,759,037	
	                  Bahrain	77,362,907	
	                  Bangladesh	2,184,885	
	                  Barbados	5,551,885	
	                  Belarus	5,748,808	
	                  Belgium	156,749,171	
	                  Belize	7,253,876	
	                  Bermuda	1,445,963	
	                  Bhutan	20,804	
	                  Bolivia	2,274,665	
	                  Bonaire	543,085	
	                  Bosnia-Herzeg.	506,164	
	                  Botswana	16,722	
	                  Brazil	52,211,520	
	                  Brit. Virgin	15,079,260	
	                  Brunei	270,687	
	                  Bulgaria	10,876,985	
	                  Cabo Verde	174,383	
	                  Cambodia	135,104	
	                  Cameroon	1,218,798	
	                  Canada	124,048,912	
	                  Canary Islands	9,601,804	
	                  Cayman Islands	12,091,216	
	                  Ceuta	4,232,760	
	                  Chile	16,571,973	
	                  China	1,446,353,799	
	                  Colombia	27,219,661	
	                  Congo, Rep. of	1,041,056	
	                  Congo (RDC)	184	
	                  Costa Rica	6,447,453	
	                  Côte d'Ivoire	1,222,147	
	                  Croatia	5,983,292	
	                  Cuba	1,302,402	
	                  Curaçao	3,925,800	
	                  Cyprus	8,492,708	
	                  Czech Republic	35,025,122	
	                  Denmark	59,621,229	
	                  Djibouti	6,745	
	                  Dominica	130,057	
	                  Dominican Rep.	927,832	
	                  Ecuador	3,520,661	
	                  Egypt	36,240,796	
	                  El Salvador	527,731	
	                  Emirates, Arab	934,091,284	
	                  Estonia	3,850,043	
	                  Ethiopia	1,771,058	
	                  Faeroe Islands	40	
	                  Finland	35,447,471	
	                  Fr. Southern T.	1,574	
	                  France	1,190,726,204	
	                  Gabon	2,593	
	                  Georgia	5,888,470	
	                  Germany	1,307,120,452	
	                  Ghana	410,698	
	                  Gibraltar	406,262	
	                  Greece	80,320,839	
	                  Grenada	70,485	
	                  Guadeloupe	3,281,256	
	                  Guam	6,182,759	
	                  Guatemala	3,324,346	
	                  Guiana, French	123,698	
	                  Guinea	57,410	
	                  Guinea, Equat.	137,300	
	                  Guyana	22,849	
	                  Haiti	296,694	
	                  Holy See	40,237	
	                  Honduras	897,978	
	                  Hong Kong	4,124,949,572	
	                  Hungary	11,446,109	
	                  Iceland	3,246,098	
	                  India	128,043,667	
	                  Indonesia	5,908,350	
	                  Iran	30,766,178	
	                  Iraq	8,624,613	
	                  Ireland	1,817,721	
	                  Israel	85,924,218	
	                  Italy	1,229,314,235	
	                  Jamaica	7,484,975	
	                  Japan	1,154,955,698	
	                  Jordan	62,623,089	
	                  Kazakhstan	23,947,393	
	                  Kenya	1,593,272	
	                  Korea (North)	121,410	
	                  Korea (South)	537,013,268	
	                  Kosovo	125,991	
	                  Kuwait	128,162,930	
	                  Kyrgyz, Rep.	629,826	
	                  Laos	9,455	
	                  Latvia	4,202,378	
	                  Lebanon	60,597,250	
	                  Liberia	37,270,620	
	                  Libya	11,951,886	
	                  Lithuania	6,287,772	
	                  Luxembourg	16,908,356	
	                  Macau	13,003,138	
	                  Macedonia	1,248,244	
	                  Madagascar	9,378	
	                  Malaysia	95,848,586	
	                  Maldives	661,015	
	                  Malta	7,849,705	
	                  Mariana, North.	2,926	
	                  Marshall Isl.	1,754,317	
	                  Martinique	1,452	
	                  Mauritius	5,649,199	
	                  Melilla	72,870	
	                  Mexico	208,295,906	
	                  Moldova	2,626,637	
	                  Mongolia	1,028,692	
	                  Montenegro	239,665	
	                  Morocco	22,343,596	
	                  Myanmar	423,503	
	                  Namibia	15,604	
	                  Nepal	4,547,450	
	                  Netherlands	201,138,466	
	                  New Caledonia	123,392	
	                  New Zealand	8,082,919	
	                  Nicaragua	228,630	
	                  Niger	15,091	
	                  Nigeria	20,093,367	
	                  Norway	39,312,784	
	                  Oman	71,875,161	
	                  Pakistan	22,991,270	
	                  Panama	72,152,882	
	                  Papua	14,256	
	                  Paraguay	3,794,749	
	                  Peru	27,139,415	
	                  Philippines	34,887,574	
	                  Poland	37,779,243	
	                  Polynesia, Fr.	20,331	
	                  Portugal	151,068,003	
	                  Qatar	150,742,187	
	                  Réunion	676,730	
	                  Romania	13,537,503	
	                  Russia	279,618,637	
	                  Rwanda	92,910	
	                  Saint Helena	5,200	
	                  San Marino	125,130	
	                  Saudi Arabia	352,358,528	
	                  Senegal	306,379	
	                  Serbia	13,736,128	
	                  Seychelles	511,612	
	                  Sierra Leone	28,200	
	                  Singapore	1,135,462,833	
	                  Slovakia	11,021,498	
	                  Slovenia	13,610,132	
	                  South Africa	62,201,248	
	                  Spain	425,047,293	
	                  Sri Lanka	2,397,219	
	                  St Barthélemy	3,618,367	
	                  St Kitts	692,305	
	                  St Lucia	1,935,427	
	                  St Maarten (NL)	15,376,114	
	                  Suriname	7,773	
	                  Sweden	75,694,370	
	                  Syria	249,492	
	                  Taiwan	430,992,867	
	                  Tajikistan	809,202	
	                  Tanzania	271,577	
	                  Thailand	287,578,755	
	                  Trinidad	15,244	
	                  Tunisia	7,349,703	
	                  Turkey	134,418,992	
	                  Turkmenistan	5,276,055	
	                  Turks	3,498,084	
	                  Uganda	6,549	
	                  Ukraine	56,559,162	
	                  United Kingdom	951,928,689	
	                  Uruguay	19,681,873	
	                  USA	2,239,720,866	
	                  Uzbekistan	3,890,671	
	                  Venezuela	45,418,796	
	                  Viet Nam	22,191,870	
	                  Yemen	8,607,109	
	                  Zambia	131,909	
2014	                  Afghanistan	20,695	
	                  Albania	1,187,285	
	                  Algeria	4,089,114	
	                  Am. Oceania	60,865	
	                  Am. Samoa	39,652	
	                  Amer. Virgin	23,082,793	
	                  Andorra	1,966,724	
	                  Angola	2,399,057	
	                  Antigua	1,542,791	
	                  Argentina	48,454,575	
	                  Armenia	5,019,431	
	                  Aruba	13,316,476	
	                  Australia	198,673,440	
	                  Austria	265,137,903	
	                  Azerbaijan	27,400,908	
	                  Bahamas	17,937,671	
	                  Bahrain	83,866,457	
	                  Bangladesh	2,034,215	
	                  Barbados	5,708,047	
	                  Belarus	4,384,990	
	                  Belgium	151,060,844	
	                  Belize	6,200,028	
	                  Bermuda	1,673,482	
	                  Bhutan	27,161	
	                  Bolivia	1,998,152	
	                  Bonaire	405,431	
	                  Bosnia-Herzeg.	743,005	
	                  Brazil	44,130,358	
	                  Brit. Virgin	8,394,564	
	                  Brunei	72,633	
	                  Bulgaria	11,847,050	
	                  Burkina Faso	2,385	
	                  Cabo Verde	165,347	
	                  Cambodia	572,079	
	                  Cameroon	1,055	
	                  Canada	139,772,061	
	                  Canary Islands	2,758,655	
	                  Cayman Islands	12,142,840	
	                  Ceuta	4,265,762	
	                  Chad	73,612	
	                  Chile	16,973,225	
	                  China	1,401,421,458	
	                  Colombia	27,298,257	
	                  Congo, Rep. of	559,334	
	                  Congo (RDC)	611,122	
	                  Costa Rica	5,339,899	
	                  Côte d'Ivoire	1,732,808	
	                  Croatia	6,482,615	
	                  Cuba	1,429,813	
	                  Curaçao	2,539,051	
	                  Cyprus	8,415,807	
	                  Czech Republic	30,280,746	
	                  Denmark	54,377,737	
	                  Djibouti	9,129	
	                  Dominica	68,712	
	                  Dominican Rep.	1,114,515	
	                  East Timor	4,659	
	                  Ecuador	2,597,455	
	                  Egypt	46,013,860	
	                  El Salvador	430,211	
	                  Emirates, Arab	1,017,908,450	
	                  Estonia	3,759,816	
	                  Ethiopia	2,538,180	
	                  Fiji	2,381	
	                  Finland	42,412,537	
	                  Fr. Southern T.	45,503	
	                  France	1,119,855,507	
	                  Gabon	2,149,856	
	                  Gambia	15,194	
	                  Georgia	6,749,529	
	                  Germany	1,223,613,850	
	                  Ghana	688,020	
	                  Gibraltar	1,647,425	
	                  Greece	91,061,831	
	                  Greenland	18,750	
	                  Grenada	34,632	
	                  Guadeloupe	6,225,604	
	                  Guam	6,861,044	
	                  Guatemala	3,250,418	
	                  Guiana, French	120,135	
	                  Guinea	61,080	
	                  Guinea, Equat.	2,110,561	
	                  Guyana	24,750	
	                  Haiti	255,946	
	                  Holy See	58,907	
	                  Honduras	300,483	
	                  Hong Kong	4,121,946,291	
	                  Hungary	10,425,328	
	                  Iceland	3,224,393	
	                  India	123,405,994	
	                  Indonesia	6,802,687	
	                  Iran	45,674,753	
	                  Iraq	10,408,092	
	                  Ireland	1,589,683	
	                  Israel	78,965,223	
	                  Italy	1,235,510,840	
	                  Jamaica	6,550,307	
	                  Japan	1,330,493,284	
	                  Jordan	64,178,841	
	                  Kazakhstan	25,979,722	
	                  Kenya	1,064,905	
	                  Korea (South)	636,534,733	
	                  Kosovo	109,525	
	                  Kuwait	126,884,257	
	                  Kyrgyz, Rep.	924,500	
	                  Laos	3,930	
	                  Latvia	5,799,370	
	                  Lebanon	61,722,707	
	                  Liberia	30,763,044	
	                  Libya	9,886,138	
	                  Lithuania	6,205,417	
	                  Luxembourg	19,075,235	
	                  Macau	12,360,701	
	                  Macedonia	1,644,776	
	                  Madagascar	91,591	
	                  Malawi	21,801	
	                  Malaysia	104,913,589	
	                  Maldives	904,568	
	                  Malta	12,531,276	
	                  Marshall Isl.	175,600	
	                  Martinique	33	
	                  Mauritius	4,958,537	
	                  Mexico	207,101,989	
	                  Moldova	1,005,630	
	                  Mongolia	1,506,209	
	                  Montenegro	562,409	
	                  Morocco	24,202,954	
	                  Mozambique	46,100	
	                  Myanmar	814,023	
	                  Namibia	20,056	
	                  Nauru	636	
	                  Nepal	5,833,175	
	                  Netherlands	219,014,642	
	                  New Caledonia	128,551	
	                  New Zealand	7,444,651	
	                  Nicaragua	217,497	
	                  Niger	59,335	
	                  Nigeria	20,844,513	
	                  Norway	38,938,263	
	                  Oman	66,062,839	
	                  Pakistan	17,578,142	
	                  Panama	69,136,819	
	                  Paraguay	2,896,799	
	                  Peru	21,807,439	
	                  Philippines	36,611,353	
	                  Poland	42,330,845	
	                  Polynesia, Fr.	26,714	
	                  Portugal	143,398,150	
	                  Qatar	162,242,962	
	                  Réunion	649,504	
	                  Romania	11,633,216	
	                  Russia	276,454,176	
	                  Rwanda	104,487	
	                  Sandwich	15,505	
	                  San Marino	24,505	
	                  Sao Tomé	322,779	
	                  Saudi Arabia	391,424,239	
	                  Senegal	60,304	
	                  Serbia	17,322,831	
	                  Seychelles	10,922,572	
	                  Sierra Leone	31,632	
	                  Singapore	1,119,777,535	
	                  Slovakia	10,671,396	
	                  Slovenia	15,401,019	
	                  South Africa	73,382,726	
	                  Spain	466,584,136	
	                  Sri Lanka	2,804,141	
	                  St Barthélemy	6,910,777	
	                  St Kitts	1,269,617	
	                  St Lucia	3,096,057	
	                  St Maarten (NL)	21,122,549	
	                  Sudan	30,097	
	                  Suriname	59,199	
	                  Sweden	94,041,102	
	                  Syria	450,765	
	                  Taiwan	443,850,400	
	                  Tajikistan	507,886	
	                  Tanzania	195,018	
	                  Thailand	250,225,705	
	                  Togo	83,343	
	                  Trinidad	22,160	
	                  Tunisia	7,259,930	
	                  Turkey	131,400,247	
	                  Turkmenistan	3,163,613	
	                  Turks	3,149,352	
	                  Uganda	21,461	
	                  Ukraine	22,814,666	
	                  United Kingdom	975,030,802	
	                  Uruguay	19,910,887	
	                  USA	2,377,288,762	
	                  Uzbekistan	3,461,637	
	                  Venezuela	42,399,743	
	                  Viet Nam	20,223,819	
	                  Yemen	8,270,627	
	                  Zambia	166,307	
	                  Zimbabwe	9,006	
2015	                  Afghanistan	35,060	
	                  Albania	1,024,330	
	                  Algeria	3,805,099	
	                  Am. Oceania	10,588	
	                  Am. Samoa	1,821,422	
	                  Amer. Virgin	23,253,574	
	                  Andorra	1,793,500	
	                  Angola	1,563,752	
	                  Anguilla	1,835	
	                  Antigua	1,665,281	
	                  Argentina	45,427,270	
	                  Armenia	3,159,011	
	                  Aruba	11,265,420	
	                  Australia	214,756,071	
	                  Austria	305,882,927	
	                  Azerbaijan	20,877,206	
	                  Bahamas	19,284,970	
	                  Bahrain	74,731,410	
	                  Bangladesh	1,680,416	
	                  Barbados	4,566,297	
	                  Belarus	3,602,036	
	                  Belgium	149,076,580	
	                  Belize	2,211,423	
	                  Bermuda	1,551,305	
	                  Bhutan	52,471	
	                  Bolivia	1,510,979	
	                  Bonaire	529,680	
	                  Bosnia-Herzeg.	892,643	
	                  Botswana	12,587	
	                  Brazil	37,555,583	
	                  Brit. Virgin	12,165,940	
	                  Brunei	163,099	
	                  Bulgaria	12,766,686	
	                  Burkina Faso	269	
	                  Burundi	84	
